"Table 1.7 Occupational employment and job openings data, projected 2014-24, and worker characteristics, 2014(Numbers in thousands)",,,,,,,,,,,
2014 National Employment Matrix title and code,,Employment,,"Employment change, 2014-24",,"Percent self employed, 2014","Job openings due to growth and replacement needs, 2014-24","Median annual wage, 2014 (1)",Typical education needed for entry  ,Work experience in a related occupation,Typical on-the-job training needed to attain competency in the occupation
Power distributors and dispatchers,51-8012,11.4,10.8,-0.6,-5.1,Ñ,3.9,"$78,240",High school diploma or equivalent,None,Long-term on-the-job training
Power plant operators,51-8013,41.1,38.4,-2.7,-6.6,Ñ,14.1,"$70,070",High school diploma or equivalent,None,Long-term on-the-job training
Stationary engineers and boiler operators,51-8021,39.1,39.7,0.6,1.4,Ñ,11.2,"$56,330",High school diploma or equivalent,None,Long-term on-the-job training
Water and wastewater treatment plant and system operators,51-8031,117.0,124.0,7.0,6.0,Ñ,36.7,"$44,100",High school diploma or equivalent,None,Long-term on-the-job training
Miscellaneous plant and system operators,51-8090,109.1,105.6,-3.5,-3.2,0.2,42.1,"$59,620",Ñ,Ñ,Ñ
Chemical plant and system operators,51-8091,38.1,34.6,-3.5,-9.2,0.2,14.4,"$55,900",High school diploma or equivalent,None,Long-term on-the-job training
Gas plant operators,51-8092,16.7,16.1,-0.6,-3.4,Ñ,6.3,"$64,100",High school diploma or equivalent,None,Long-term on-the-job training
"Petroleum pump system operators, refinery operators, and gaugers",51-8093,42.4,43.4,0.9,2.2,0.2,17.0,"$62,830",High school diploma or equivalent,None,Long-term on-the-job training
"Plant and system operators, all other",51-8099,11.9,11.5,-0.4,-3.2,Ñ,4.5,"$55,230",High school diploma or equivalent,None,Long-term on-the-job training
Other production occupations,51-9000,"2,548.1","2,484.9",-63.2,-2.5,2.7,703.9,"$30,290",Ñ,Ñ,Ñ
"Chemical processing machine setters, operators, and tenders",51-9010,110.1,104.1,-6.0,-5.5,1.0,34.7,"$44,140",Ñ,Ñ,Ñ
Chemical equipment operators and tenders,51-9011,66.3,60.8,-5.5,-8.3,1.0,20.9,"$48,090",High school diploma or equivalent,None,Moderate-term on-the-job training
"Separating, filtering, clarifying, precipitating, and still machine setters, operators, and tenders",51-9012,43.8,43.3,-0.6,-1.3,1.0,13.8,"$38,590",High school diploma or equivalent,None,Moderate-term on-the-job training
"Crushing, grinding, polishing, mixing, and blending workers",51-9020,185.2,174.4,-10.8,-5.8,1.0,40.1,"$33,040",Ñ,Ñ,Ñ
"Crushing, grinding, and polishing machine setters, operators, and tenders",51-9021,30.2,27.9,-2.3,-7.5,1.0,6.5,"$33,070",High school diploma or equivalent,None,Moderate-term on-the-job training
"Grinding and polishing workers, hand",51-9022,29.9,27.3,-2.6,-8.8,1.0,6.5,"$28,340",No formal educational credential,None,Moderate-term on-the-job training
"Mixing and blending machine setters, operators, and tenders",51-9023,125.1,119.2,-5.9,-4.7,1.0,27.1,"$34,340",High school diploma or equivalent,None,Moderate-term on-the-job training
Cutting workers,51-9030,79.4,71.5,-7.9,-10.0,1.5,15.8,"$30,650",Ñ,Ñ,Ñ
"Cutters and trimmers, hand",51-9031,15.8,13.0,-2.8,-17.5,1.5,3.1,"$25,920",No formal educational credential,None,Short-term on-the-job training
"Cutting and slicing machine setters, operators, and tenders",51-9032,63.6,58.4,-5.2,-8.1,1.5,12.7,"$32,040",High school diploma or equivalent,None,Short-term on-the-job training
"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",51-9041,68.2,59.0,-9.2,-13.6,Ñ,24.4,"$32,100",High school diploma or equivalent,None,Moderate-term on-the-job training
"Furnace, kiln, oven, drier, and kettle operators and tenders",51-9051,20.9,18.9,-2.0,-9.7,Ñ,5.5,"$34,900",High school diploma or equivalent,None,Moderate-term on-the-job training
"Inspectors, testers, sorters, samplers, and weighers",51-9061,496.6,495.5,-1.1,-0.2,0.8,124.8,"$35,330",High school diploma or equivalent,None,Moderate-term on-the-job training
Jewelers and precious stone and metal workers,51-9071,39.8,35.3,-4.5,-11.3,41.5,6.2,"$36,870",High school diploma or equivalent,None,Long-term on-the-job training
"Medical, dental, and ophthalmic laboratory technicians",51-9080,83.5,92.2,8.7,10.4,8.4,28.8,"$33,430",Ñ,Ñ,Ñ
Dental laboratory technicians,51-9081,38.7,42.9,4.2,10.8,8.4,13.5,"$36,830",High school diploma or equivalent,None,Moderate-term on-the-job training
Medical appliance technicians,51-9082,14.6,16.1,1.6,10.7,8.4,5.1,"$35,580",High school diploma or equivalent,None,Long-term on-the-job training
Ophthalmic laboratory technicians,51-9083,30.2,33.2,3.0,9.8,8.5,10.2,"$28,890",High school diploma or equivalent,None,Moderate-term on-the-job training
Packaging and filling machine operators and tenders,51-9111,378.4,382.2,3.8,1.0,0.1,138.7,"$26,410",High school diploma or equivalent,None,Moderate-term on-the-job training
Painting workers,51-9120,169.5,171.7,2.1,1.3,6.3,35.2,"$33,740",Ñ,Ñ,Ñ
"Coating, painting, and spraying machine setters, operators, and tenders",51-9121,97.7,97.0,-0.7,-0.7,6.3,18.4,"$31,460",High school diploma or equivalent,None,Moderate-term on-the-job training
"Painters, transportation equipment",51-9122,54.3,57.5,3.2,5.9,6.2,13.4,"$40,770",High school diploma or equivalent,None,Moderate-term on-the-job training
"Painting, coating, and decorating workers",51-9123,17.5,17.2,-0.3,-2.0,6.2,3.3,"$28,750",No formal educational credential,None,Moderate-term on-the-job training
Semiconductor processors,51-9141,25.3,23.2,-2.1,-8.3,6.2,5.2,"$34,680",Associate's degree,None,Moderate-term on-the-job training
Photographic process workers and processing machine operators,51-9151,28.8,19.4,-9.5,-32.9,1.6,5.6,"$24,600",High school diploma or equivalent,None,Short-term on-the-job training
Miscellaneous production workers,51-9190,862.2,837.6,-24.6,-2.9,2.9,238.9,"$26,470",Ñ,Ñ,Ñ
Adhesive bonding machine operators and tenders,51-9191,18.4,17.1,-1.2,-6.8,0.3,4.8,"$31,340",High school diploma or equivalent,None,Moderate-term on-the-job training
"Cleaning, washing, and metal pickling equipment operators and tenders",51-9192,18.5,18.6,0.1,0.4,8.9,4.9,"$26,910",No formal educational credential,None,Moderate-term on-the-job training
Cooling and freezing equipment operators and tenders,51-9193,8.8,8.7,-0.1,-0.6,6.1,1.8,"$28,280",High school diploma or equivalent,None,Moderate-term on-the-job training
Etchers and engravers,51-9194,9.7,9.5,-0.3,-2.7,11.0,2.5,"$29,250",High school diploma or equivalent,None,Moderate-term on-the-job training
"Molders, shapers, and casters, except metal and plastic",51-9195,41.4,38.9,-2.5,-6.0,16.1,14.2,"$29,820",High school diploma or equivalent,None,Long-term on-the-job training
"Paper goods machine setters, operators, and tenders",51-9196,91.9,82.0,-9.9,-10.7,0.5,13.0,"$35,260",High school diploma or equivalent,None,Moderate-term on-the-job training
Tire builders,51-9197,18.1,15.6,-2.5,-13.6,Ñ,4.7,"$42,540",High school diploma or equivalent,None,Moderate-term on-the-job training
Helpers--production workers,51-9198,419.2,403.2,-16.1,-3.8,0.1,136.8,"$23,610",No formal educational credential,None,Short-term on-the-job training
"Production workers, all other",51-9199,236.2,244.0,7.7,3.3,6.0,56.1,"$28,260",High school diploma or equivalent,None,Moderate-term on-the-job training
Transportation and material moving occupations,53-0000,"9,748.5","10,215.3",466.8,4.8,3.8,"2,852.9","$29,530",Ñ,Ñ,Ñ
Supervisors of transportation and material moving workers,53-1000,378.6,388.3,9.6,2.5,0.2,131.0,"$50,660",Ñ,Ñ,Ñ
Aircraft cargo handling supervisors,53-1011,5.8,5.8,0.0,0.5,Ñ,1.9,"$47,760",High school diploma or equivalent,Less than 5 years,None
"First-line supervisors of helpers, laborers, and material movers, hand",53-1021,173.1,176.9,3.8,2.2,0.2,59.3,"$46,690",High school diploma or equivalent,Less than 5 years,None
First-line supervisors of transportation and material-moving machine and vehicle operators,53-1031,199.7,205.6,5.9,2.9,0.2,69.9,"$54,930",High school diploma or equivalent,Less than 5 years,None
Air transportation workers,53-2000,248.8,254.5,5.7,2.3,1.2,64.5,"$70,060",Ñ,Ñ,Ñ
Aircraft pilots and flight engineers,53-2010,119.2,124.5,5.4,4.5,2.5,34.4,"$103,390",Ñ,Ñ,Ñ
"Airline pilots, copilots, and flight engineers",53-2011,75.7,76.5,0.8,1.1,Ñ,19.3,"$118,140",Bachelor's degree,Less than 5 years,Moderate-term on-the-job training
Commercial pilots,53-2012,43.5,48.0,4.5,10.5,7.0,15.1,"$75,620",High school diploma or equivalent,None,Moderate-term on-the-job training
Air traffic controllers and airfield operations specialists,53-2020,31.7,29.9,-1.8,-5.8,Ñ,10.0,"$101,460",Ñ,Ñ,Ñ
Air traffic controllers,53-2021,24.5,22.4,-2.1,-8.6,Ñ,7.5,"$122,340",Associate's degree,None,Long-term on-the-job training
Airfield operations specialists,53-2022,7.2,7.5,0.3,3.9,Ñ,2.5,"$49,180",High school diploma or equivalent,None,Long-term on-the-job training
Flight attendants,53-2031,97.9,100.1,2.2,2.2,Ñ,20.1,"$42,290",High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
Motor vehicle operators,53-3000,"4,108.0","4,334.7",226.7,5.5,7.2,912.6,"$33,590",Ñ,Ñ,Ñ
"Ambulance drivers and attendants, except emergency medical technicians",53-3011,19.6,26.1,6.5,33.0,Ñ,9.8,"$24,080",High school diploma or equivalent,None,Moderate-term on-the-job training
Bus drivers,53-3020,665.0,702.5,37.5,5.6,0.7,124.9,"$30,220",Ñ,Ñ,Ñ
"Bus drivers, transit and intercity",53-3021,167.8,177.6,9.8,5.9,0.7,31.9,"$37,470",High school diploma or equivalent,None,Moderate-term on-the-job training
"Bus drivers, school or special client",53-3022,497.3,524.9,27.7,5.6,0.7,93.0,"$28,850",High school diploma or equivalent,None,Short-term on-the-job training
Driver/sales workers and truck drivers,53-3030,"3,127.7","3,274.5",146.8,4.7,7.7,678.9,"$35,330",Ñ,Ñ,Ñ
Driver/sales workers,53-3031,445.3,466.1,20.8,4.7,7.8,96.6,"$22,250",High school diploma or equivalent,None,Short-term on-the-job training
Heavy and tractor-trailer truck drivers,53-3032,"1,797.7","1,896.4",98.8,5.5,7.7,404.5,"$39,520",Postsecondary nondegree award,None,Short-term on-the-job training
Light truck or delivery services drivers,53-3033,884.7,911.9,27.3,3.1,7.6,177.8,"$29,570",High school diploma or equivalent,None,Short-term on-the-job training
Taxi drivers and chauffeurs,53-3041,233.7,264.4,30.6,13.1,20.9,74.8,"$23,210",No formal educational credential,None,Short-term on-the-job training
"Motor vehicle operators, all other",53-3099,62.0,67.3,5.3,8.6,3.8,24.3,"$28,910",No formal educational credential,None,Short-term on-the-job training
Rail transportation workers,53-4000,129.1,126.4,-2.7,-2.1,Ñ,50.7,"$54,380",Ñ,Ñ,Ñ
Locomotive engineers and operators,53-4010,46.1,44.0,-2.1,-4.5,Ñ,18.3,"$53,400",Ñ,Ñ,Ñ
Locomotive engineers,53-4011,40.4,39.5,-0.9,-2.3,Ñ,16.0,"$54,500",High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
Locomotive firers,53-4012,1.7,0.5,-1.2,-69.9,Ñ,0.7,"$46,740",High school diploma or equivalent,None,Moderate-term on-the-job training
"Rail yard engineers, dinkey operators, and hostlers",53-4013,4.0,4.1,0.1,1.5,Ñ,1.6,"$43,880",High school diploma or equivalent,None,Moderate-term on-the-job training
"Railroad brake, signal, and switch operators",53-4021,22.1,21.7,-0.4,-1.8,Ñ,8.4,"$52,360",High school diploma or equivalent,None,Moderate-term on-the-job training
Railroad conductors and yardmasters,53-4031,45.1,44.3,-0.9,-1.9,Ñ,17.2,"$54,770",High school diploma or equivalent,None,Moderate-term on-the-job training
Subway and streetcar operators,53-4041,12.0,12.5,0.6,4.7,Ñ,5.2,"$62,130",High school diploma or equivalent,None,Moderate-term on-the-job training
"Rail transportation workers, all other",53-4099,3.8,3.9,0.0,1.3,Ñ,1.5,"$59,480",High school diploma or equivalent,None,Moderate-term on-the-job training
Water transportation workers,53-5000,78.5,85.7,7.2,9.2,3.4,32.8,"$53,130",Ñ,Ñ,Ñ
Sailors and marine oilers,53-5011,28.3,30.9,2.6,9.1,Ñ,9.9,"$39,100",No formal educational credential,None,Moderate-term on-the-job training
Ship and boat captains and operators,53-5020,39.8,43.7,3.9,9.7,6.8,19.4,"$68,080",Ñ,Ñ,Ñ
"Captains, mates, and pilots of water vessels",53-5021,35.1,38.7,3.6,10.2,6.8,17.2,"$72,340",Postsecondary nondegree award,Less than 5 years,None
Motorboat operators,53-5022,4.7,5.0,0.3,6.3,6.6,2.1,"$37,120",Postsecondary nondegree award,Less than 5 years,None
Ship engineers,53-5031,10.3,11.1,0.8,7.5,Ñ,3.5,"$68,100",Postsecondary nondegree award,Less than 5 years,None
Other transportation workers,53-6000,334.9,355.4,20.6,6.1,0.4,173.6,"$22,130",Ñ,Ñ,Ñ
Bridge and lock tenders,53-6011,3.5,3.4,0.0,-1.1,Ñ,1.8,"$48,120",High school diploma or equivalent,None,Short-term on-the-job training
Parking lot attendants,53-6021,135.6,141.3,5.8,4.2,Ñ,81.3,"$19,800",No formal educational credential,None,Short-term on-the-job training
Automotive and watercraft service attendants,53-6031,105.8,117.6,11.7,11.1,0.4,53.8,"$20,900",No formal educational credential,None,Short-term on-the-job training
Traffic technicians,53-6041,6.8,7.2,0.4,6.3,Ñ,3.9,"$43,430",High school diploma or equivalent,None,Moderate-term on-the-job training
Transportation inspectors,53-6051,26.4,26.7,0.3,1.2,3.9,7.1,"$69,170",High school diploma or equivalent,None,Moderate-term on-the-job training
"Transportation attendants, except flight attendants",53-6061,16.5,17.6,1.0,6.4,Ñ,4.1,"$23,380",High school diploma or equivalent,None,Short-term on-the-job training
"Transportation workers, all other",53-6099,40.2,41.6,1.3,3.3,Ñ,21.7,"$33,790",High school diploma or equivalent,None,Short-term on-the-job training
Material moving workers,53-7000,"4,470.6","4,670.3",199.7,4.5,1.5,"1,487.7","$24,790",Ñ,Ñ,Ñ
Conveyor operators and tenders,53-7011,39.7,39.6,-0.1,-0.2,Ñ,11.5,"$31,220",No formal educational credential,None,Short-term on-the-job training
Crane and tower operators,53-7021,45.5,49.0,3.4,7.6,1.3,19.2,"$50,720",High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
"Dredge, excavating, and loading machine operators",53-7030,60.9,64.4,3.5,5.8,12.2,10.7,"$40,650",Ñ,Ñ,Ñ
Dredge operators,53-7031,2.2,2.3,0.2,8.7,12.0,0.4,"$40,950",High school diploma or equivalent,None,Moderate-term on-the-job training
Excavating and loading machine and dragline operators,53-7032,53.9,57.3,3.4,6.2,12.2,9.7,"$39,830",High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
"Loading machine operators, underground mining",53-7033,4.8,4.8,0.0,-0.1,12.6,0.6,"$50,290",No formal educational credential,None,Short-term on-the-job training
Hoist and winch operators,53-7041,2.9,2.9,0.0,1.7,Ñ,0.9,"$39,580",No formal educational credential,None,Short-term on-the-job training
Industrial truck and tractor operators,53-7051,530.9,543.5,12.6,2.4,0.6,144.7,"$31,340",No formal educational credential,None,Short-term on-the-job training
"Laborers and material movers, hand",53-7060,"3,587.8","3,753.9",166.1,4.6,1.1,"1,224.9","$23,380",Ñ,Ñ,Ñ
Cleaners of vehicles and equipment,53-7061,346.9,380.0,33.1,9.5,5.6,154.0,"$20,670",No formal educational credential,None,Short-term on-the-job training
"Laborers and freight, stock, and material movers, hand",53-7062,"2,441.3","2,566.4",125.1,5.1,0.7,851.7,"$24,430",No formal educational credential,None,Short-term on-the-job training
Machine feeders and offbearers,53-7063,104.2,100.7,-3.5,-3.4,Ñ,22.9,"$29,290",No formal educational credential,None,Short-term on-the-job training
"Packers and packagers, hand",53-7064,695.4,706.9,11.5,1.7,0.4,196.4,"$20,330",No formal educational credential,None,Short-term on-the-job training
Pumping station operators,53-7070,32.1,35.2,3.1,9.7,5.8,19.4,"$47,570",Ñ,Ñ,Ñ
Gas compressor and gas pumping station operators,53-7071,5.1,5.3,0.2,3.4,5.7,2.8,"$56,280",High school diploma or equivalent,None,Moderate-term on-the-job training
"Pump operators, except wellhead pumpers",53-7072,13.1,14.2,1.1,8.4,5.8,7.8,"$43,500",High school diploma or equivalent,None,Moderate-term on-the-job training
Wellhead pumpers,53-7073,13.9,15.8,1.8,13.1,5.8,8.9,"$47,340",High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
Refuse and recyclable material collectors,53-7081,131.5,140.9,9.4,7.1,10.0,42.4,"$33,660",No formal educational credential,None,Short-term on-the-job training
Mine shuttle car operators,53-7111,2.7,2.6,-0.1,-2.2,2.1,0.8,"$55,000",No formal educational credential,None,Short-term on-the-job training
"Tank car, truck, and ship loaders",53-7121,13.0,13.5,0.5,4.0,2.1,4.6,"$41,180",No formal educational credential,None,Short-term on-the-job training
"Material moving workers, all other",53-7199,23.6,24.7,1.0,4.4,1.9,8.5,"$30,830",No formal educational credential,None,Short-term on-the-job training
"Notes:Data is unavailable for values denoted with a ""Ñ"". Footnotes:(1) Data are from the Occupational Employment Statistics program, U.S. Bureau of Labor Statistics.Source: Employment Projections program, U.S. Bureau of Labor Statistics",,,,,,,,,,,
