"Table 1.7 Occupational employment and job openings data, projected 2014-24, and worker characteristics, 2014(Numbers in thousands)",,,,,,,,,,,
2014 National Employment Matrix title and code,,Employment,,"Employment change, 2014-24",,"Percent self employed, 2014","Job openings due to growth and replacement needs, 2014-24","Median annual wage, 2014 (1)",Typical education needed for entry  ,Work experience in a related occupation,Typical on-the-job training needed to attain competency in the occupation
Miscellaneous protective service workers,33-9090,371.5,387.9,16.4,4.4,0.3,75.5,"$23,850",Ñ,Ñ,Ñ
Crossing guards,33-9091,69.8,74.2,4.5,6.4,1.3,17.0,"$24,750",No formal educational credential,None,Short-term on-the-job training
"Lifeguards, ski patrol, and other recreational protective service workers",33-9092,141.3,150.8,9.5,6.7,0.0,29.4,"$19,090",No formal educational credential,None,Short-term on-the-job training
Transportation security screeners,33-9093,46.6,42.4,-4.2,-9.0,Ñ,6.6,"$38,090",High school diploma or equivalent,None,Short-term on-the-job training
"Protective service workers, all other",33-9099,113.8,120.4,6.6,5.8,Ñ,22.6,"$28,440",High school diploma or equivalent,None,Short-term on-the-job training
Food preparation and serving related occupations,35-0000,"12,467.6","13,280.4",812.9,6.5,0.6,"5,549.0","$19,130",Ñ,Ñ,Ñ
Supervisors of food preparation and serving workers,35-1000,"1,017.6","1,117.4",99.8,9.8,2.0,383.3,"$30,500",Ñ,Ñ,Ñ
Chefs and head cooks,35-1011,127.5,138.8,11.3,8.9,4.9,30.4,"$41,610",High school diploma or equivalent,5 years or more,None
First-line supervisors of food preparation and serving workers,35-1012,890.1,978.6,88.5,9.9,1.6,352.9,"$29,560",High school diploma or equivalent,Less than 5 years,None
Cooks and food preparation workers,35-2000,"3,164.7","3,316.6",151.8,4.8,1.1,"1,091.1","$20,660",Ñ,Ñ,Ñ
Cooks,35-2010,"2,290.8","2,387.8",97.0,4.2,1.2,792.8,"$21,120",Ñ,Ñ,Ñ
"Cooks, fast food",35-2011,524.4,444.0,-80.4,-15.3,Ñ,138.7,"$18,540",No formal educational credential,None,Short-term on-the-job training
"Cooks, institution and cafeteria",35-2012,417.6,443.9,26.3,6.3,Ñ,136.8,"$23,440",No formal educational credential,None,Short-term on-the-job training
