Code,Occupation,Categories
29-2061.00,Licensed Practical and Licensed Vocational Nurses,Rapid Growth; Numerous Job Openings
33-9092.00,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",Numerous Job Openings
53-3033.00,Light Truck or Delivery Services Drivers,Numerous Job Openings
13-1081.00,Logisticians,Rapid Growth
13-1081.02,Logistics Analysts,Rapid Growth; New and Emerging
13-1081.01,Logistics Engineers,Rapid Growth; New and Emerging
11-3071.03,Logistics Managers,New and Emerging
11-9199.08,Loss Prevention Managers,Numerous Job Openings; New and Emerging
29-1122.01,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",Rapid Growth; New and Emerging
51-4041.00,Machinists,Numerous Job Openings
29-2035.00,Magnetic Resonance Imaging Technologists,Rapid Growth
37-2012.00,Maids and Housekeeping Cleaners,Numerous Job Openings
49-9071.00,"Maintenance and Repair Workers, General",Numerous Job Openings
13-1111.00,Management Analysts,Numerous Job Openings
11-9199.00,"Managers, All Other",Numerous Job Openings
17-3029.06,Manufacturing Engineering Technologists,New and Emerging
17-2199.04,Manufacturing Engineers,New and Emerging
17-3029.09,Manufacturing Production Technicians,New and Emerging
13-1161.00,Market Research Analysts and Marketing Specialists,Rapid Growth; Numerous Job Openings
43-5081.02,Marking Clerks,Numerous Job Openings
21-1013.00,Marriage and Family Therapists,Rapid Growth
31-9011.00,Massage Therapists,Rapid Growth
15-2021.00,Mathematicians,Rapid Growth
49-9011.00,Mechanical Door Repairers,Rapid Growth
17-3029.07,Mechanical Engineering Technologists,New and Emerging
17-2199.05,Mechatronics Engineers,New and Emerging
29-2012.00,Medical and Clinical Laboratory Technicians,Rapid Growth
11-9111.00,Medical and Health Services Managers,Rapid Growth; Numerous Job Openings
31-9092.00,Medical Assistants,Rapid Growth; Numerous Job Openings
49-9062.00,Medical Equipment Repairers,Rapid Growth
29-2071.00,Medical Records and Health Information Technicians,Rapid Growth
43-6013.00,Medical Secretaries,Rapid Growth; Numerous Job Openings
13-1121.00,"Meeting, Convention, and Event Planners",Rapid Growth
21-1023.00,Mental Health and Substance Abuse Social Workers,Rapid Growth
21-1014.00,Mental Health Counselors,Rapid Growth
11-3051.05,Methane/Landfill Gas Collection System Operators,New and Emerging
51-8099.02,Methane/Landfill Gas Generation System Technicians,New and Emerging
17-2199.06,Microsystems Engineers,New and Emerging
25-2022.00,"Middle School Teachers, Except Special and Career/Technical Education",Numerous Job Openings
29-9099.01,Midwives,New and Emerging
19-1029.02,Molecular and Cellular Biologists,New and Emerging
33-2011.01,Municipal Firefighters,Numerous Job Openings
29-1125.02,Music Therapists,New and Emerging
39-9011.01,Nannies,Numerous Job Openings
17-2199.09,Nanosystems Engineers,New and Emerging
17-3029.12,Nanotechnology Engineering Technicians,New and Emerging
